Latitude;Longitude
1.440119;103.788139
1.4185509;103.716797
18.24057239;-66.05926099
25.8766072383;-80.2486325708
-17.5713219121;177.9539615942
18.1485056;-65.8375789
-6.0905682;39.2713125
18.3941354432;-65.9925649525
18.3125853064;-65.7703296905
-6.0645591412;39.3325589294
15.19499934;145.7553704828
8.6898248613;-83.6950865952
8.6898248613;-83.6950865952
8.6898248613;-83.6950865952
18.4625297872;-69.9165668312
-13.399188;48.318424
5.963428;-75.102138
7.0692883;-73.7455639
3.018253985;101.7811828326
2.92739;101.7007416667
19.6764196688;-69.9988284801
-8.4753856924;115.313792671
-8.6101242481;115.3153389507
3.1942017239;101.626856187
-8.5738870178;115.31535357
5.8563508271;-74.866132848
22.3751866739;114.1265065764
1.4067707915;103.7899928873
3.4281700463;-76.5432639771
3.0155556202;101.6969451904
2.944444418;101.6933364868
-8.4419166759;115.3605901532
9.4807383333;-84.1407445
14.5389938448;-61.0604027287
9.857882244;-84.5765326799
7.3445015241;134.4934595542
-14.30522;-170.819795
25.7240916667;-80.2798466667
13.4924345281;144.8395476194
-14.2998937844;-170.8119800381
2.9652777778;101.6775
10.2921714783;123.8601379395
6.2495951786;-75.560759229
5.3564183044;100.3034040686
25.0340805;-77.52533
2.691985029;102.1989195334
9.0037097931;-79.5771636963
18.0966230342;-65.4753459246
8.6940337848;-83.6732259068
13.6703957853;-89.2458761064
7.1410428269;-73.116650112
8.5407676;-83.306754
8.637592;-83.4375706
-8.7944440842;115.2147216797
8.6898724189;-83.6656284354
-8.4030513763;115.2976226807
25.8614966667;-80.1745533333
8.6586883333;-83.2545083333
3.0358333333;101.5827777778
6.242145;-75.5810383333
6.2706094778;-75.5636504895
3.1941766667;101.626835
19.3131082641;-81.1702943221
3.1459366667;101.6821033333
18.0966239562;-65.4753183481
9.5450485483;-82.5715349615
8.5734335147;-80.1252203621
5.1941455023;-74.8857830465
9.6330366667;-82.6565866667
18.234766;-73.753381
-8.6107328;115.28871
-8.4894916667;115.2583916667
0.68337064;121.8225004719
9.3767051697;-83.9941864014
-8.4915173973;115.2536845207
-8.4917965;115.2534978
2.7403531075;101.8797302246
18.211988;-73.763068
-12.831806101;45.1943162439
-5.7235872674;39.3021019381
-8.5364078701;115.5040868372
3.89555668;-76.30538395
-7.0711277006;110.4125510529
-16.8725891222;145.6679497659
7.487284771;100.4343971033
-13.3874931229;48.3049274815
18.2967882955;99.5055798859
18.4639154587;-66.1177546596
18.09318617;-65.80207
20.1883792;-96.8665267
-5.0137674088;119.6845644991
-8.5068536;115.2624778
5.4210830833;100.2646741389
5.4211068153;100.2643966672
9.9667894654;-84.3749778719
5.4212830896;100.2660540864
3.1258931345;101.6287664697
21.9252598692;101.2597079547
12.9409713889;77.5866413889
6.3042783736;-75.5781173706
-6.5563532771;106.7320208251
-6.5561904;106.731931
7.7567661794;98.7721851873
-6.5561820722;106.7264126614
9.7566845315;99.9628857617
18.3525780041;-66.0129190396
-8.6615678;115.1857278
9.18452833;-83.76898
-7.3187237717;108.2009517029
18.37127833;-66.02726667
-13.3645350548;48.2754544482
17.9835931697;-65.9882610947
18.2501613894;-66.0031811893
17.983533716;-65.9882489357
26.2568187481;-81.7302608584
9.1193545156;-79.6987107396
8.4861974897;-80.1967583969
26.2566886025;-81.7304346903
7.9819843066;-82.0308298003
7.9352777778;-80.3644444444
-16.92478118;49.9038520836
-16.92478118;49.9038520836
9.6238376319;-82.6200933084
26.1473370481;-81.7877771162
9.6592702121;-85.0615532446
16.84162;96.11564717
10.3878526;-84.5973624
9.5394566291;-82.7022193746
9.7759457778;76.2926217778
9.7878263889;76.3010847222
-4.3641403967;55.8370771831
9.7759457778;76.2926217778
22.4096;114.0329138333
23.186944;113.364357
23.186944;113.364357
3.4859332044;-76.524503955
9.5359536664;-82.5624660775
-13.3666525623;48.3170532255
11.9630368829;121.9270939752
-18.1493479503;178.4248041599
15.371595;-61.25418833
15.371575;-61.25397167
10.1019;-83.5241
8.4376554997;-80.0070166997
18.848516;98.934402
18.403175;-66.0457833333
26.0645911871;-80.0291632462
15.7451739076;-86.7273602189
3.7725102651;98.0934798717
8.8706083333;76.6020166667
-6.64287196;106.67208292
-6.5600183333;106.7696016667
0.1144142434;117.4816071242
6.25651333;-75.61525
